[TAILING] Tailing last 1000 lines for [all] processes (change the value with --lines option)
/root/.pm2/pm2.log last 1000 lines:
PM2        | 2025-11-03T02:26:16: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:16: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:16: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:17: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:17: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:17: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:19: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:19: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:19: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:20: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:20: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:20: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:22: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:22: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:22: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:23: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:23: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:23: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:24: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:24: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:24: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:26: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:26: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:26: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:27: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:27: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:27: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:29: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:29: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:29: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:30: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:30: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:30: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:31: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:31: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:31: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:32: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:32: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:32: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:34: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:34: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:34: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:35: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:35: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:35: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:36: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:36: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:36: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:38: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:38: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:38: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:39: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:39: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:39: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:41: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:41: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:41: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:42: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:42: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:42: PM2 log: App [baileys-api:0] online
